User_ID,Age_Years,Gender,Body_Mass_KG,Height_CM,Steps,Workout_Minutes,Exercise_Type,Avg_Heart_Rate,Intensity_Score,Calories_Burned,Notes,Calories
1,56.7,Female,85.3,194.1,10537,27,HIIT,107,9,2246.6,,2251.0
2,46.6,Male,46.8,193.5,3422,75,Cycling,118,5,1903.5,High intensity,1903.0
3,32.5,Female,81.1,168.3,15604,36,HIIT,177,8,2657.4,High intensity,2656.0
4,60.5,Female,89.7,167.9,5721,15,Running,179,4,1912.2,Morning session,1914.0
5,25.2,Female,92.8,150.3,10203,112,HIIT,63,1,2336.8,Evening workout,2333.0
6,38.7,Female,68.4,174.6,8541,79,Walking,134,1,2108.8,,2108.0
7,56.3,Female,66.6,176.6,10869,68,Running,78,6,2230.8,,2227.0
8,36.4,Male,55.2,156.6,15785,15,Cycling,116,8,2219.8,Evening workout,2220.0
9,40.2,Male,102.0,193.3,14679,40,HIIT,78,10,2608.5,,2605.0
10,28.2,Female,90.2,191.1,13542,114,Walking,150,2,2865.2,,2865.0
11,28.1,Female,73.9,178.4,18870,113,HIIT,163,4,3158.9,,3159.0
12,41.3,Female,79.3,180.6,15461,103,Running,101,3,2720.9,Morning session,2720.0
13,53.6,Male,59.7,193.2,12038,65,HIIT,151,9,2624.6,Low effort,2624.0
14,57.1,Male,104.2,192.6,13252,63,Yoga,64,3,2326.6,,2322.0
15,41.1,Female,86.3,185.4,10770,94,Walking,107,8,2741.9,Low effort,2742.0
16,20.4,Female,87.2,168.1,4749,50,Cycling,84,7,1935.3,Low effort,1935.0
17,39.6,Male,118.7,155.9,12817,117,Running,126,1,2848.2,,2851.0
18,19.7,Female,93.6,174.3,3503,27,Cycling,85,8,1730.4,,1730.0
19,41.7,Male,108.4,180.4,8855,96,Swimming,133,9,2856.5,High intensity,2855.0
20,61.2,Male,76.8,158.0,14378,111,Walking,147,8,3146.8,Good workout,3144.0
21,47.4,Female,108.9,169.7,12329,32,Yoga,121,10,2571.8,High intensity,2569.0
22,55.2,Male,46.1,159.1,12101,101,HIIT,152,10,2911.6,High intensity,2910.0
23,19.3,Female,68.3,186.7,17783,45,Yoga,168,1,2353.0,Good workout,2354.0
24,38.6,Female,110.5,176.5,13149,34,Walking,66,7,2288.9,,2288.0
25,50.6,Female,82.1,162.3,15619,16,Running,103,9,2362.0,Low effort,2363.0
26,29.3,Female,,190.1,18923,91,Walking,146,5,3010.2,High intensity,3009.0
27,39.5,Female,70.7,151.7,15985,29,Running,169,2,2247.2,,2246.0
28,61.8,Female,73.6,170.4,16026,14,Cycling,86,8,2255.4,Morning session,2259.0
29,42.0,Male,111.7,182.1,9428,27,Yoga,101,9,2261.4,High intensity,2265.0
30,44.2,,69.0,173.4,10119,115,Swimming,132,7,2801.0,Low effort,2801.0
31,59.2,Male,92.8,193.8,5124,113,Walking,167,5,2709.4,Morning session,2708.0
32,45.1,Male,109.8,191.9,19779,42,Yoga,115,8,2880.0,High intensity,2880.0
33,33.7,Female,97.3,183.2,17375,88,Walking,62,6,2758.0,Evening workout,2757.0
34,32.9,Male,111.2,158.6,1449,44,Swimming,72,4,1627.5,Low effort,1632.0
