User_ID,Age,Gender,Body_Mass,Height,Steps,Workout_Minutes,Exercise_Type,Avg_Heart_Rate,Intensity_Score,Calories
1,56,1,90,187,6503,105,4,85,4,2273
2,46,0,51,161,3217,110,3,178,5,2673
3,32,1,86,160,4474,73,4,135,1,1566
4,60,1,94,197,2929,110,4,90,1,1749
5,25,1,97,198,9958,110,1,175,6,3039
6,38,1,73,169,10508,104,0,140,5,2717
7,56,1,71,158,3502,89,1,160,4,2195
8,36,0,60,150,2420,96,1,131,1,1771
9,40,0,107,152,7830,117,5,78,7,2995
10,28,1,95,170,6358,19,4,149,4,1605
11,28,1,78,172,3449,30,0,127,3,1361
12,41,1,84,158,7811,25,3,74,7,1934
13,53,0,64,168,10619,49,3,174,2,1912
14,57,0,109,194,9871,89,0,170,1,2174
15,41,1,91,195,10588,56,4,117,4,2043
16,20,1,92,168,10987,101,4,137,8,3170
17,39,0,98,172,2106,112,5,89,6,2588
18,19,1,113,176,6049,95,5,107,9,2997
19,41,0,81,176,10289,24,1,115,1,1343
20,61,0,113,188,3903,96,3,101,1,1804
21,47,1,51,185,9649,22,5,83,5,1665
22,55,0,73,161,5570,40,0,169,6,2216
23,19,1,115,176,13493,17,3,111,8,2380
24,38,1,87,195,7376,73,4,102,3,1885
25,50,1,80,183,2042,102,3,93,6,2376
26,29,1,75,182,8385,17,2,119,3,1402
27,39,1,78,177,3577,52,3,142,8,2382
28,61,1,116,180,14382,16,5,62,4,1660
29,42,0,74,181,8065,113,0,127,2,2321
30,44,0,97,199,7885,31,4,70,9,2401
31,59,0,114,169,14475,87,4,72,8,3101
32,45,0,102,189,10576,50,5,109,6,2372
33,33,1,116,184,13663,100,5,141,3,2558
34,32,0,67,180,5577,21,5,78,2,2027
35,64,0,58,180,5238,112,2,103,4,2407
36,61,0,87,187,7244,102,0,92,4,2389
37,20,1,70,171,11888,87,2,179,1,2116
38,54,0,114,194,4134,16,5,97,9,2202
39,24,1,70,190,5892,99,0,62,8,2695
40,38,0,76,158,12728,48,5,172,7,2746
41,26,1,119,158,6321,41,0,158,6,2178
42,56,1,93,164,7776,51,4,124,3,1754
43,35,0,77,162,12584,85,2,94,4,2427
44,21,1,94,171,14805,36,1,95,2,1649
45,42,1,66,165,7828,82,5,97,7,2553
46,31,0,89,181,5815,28,5,98,2,1312
